[(133, 23), (133, 424), (133, 108), (133, 200), (133, 302)]
[(134, 21), (134, 426), (134, 108), (134, 200), (134, 303)]
[(135, 19), (135, 428), (135, 107), (135, 199), (135, 303)]
[(136, 18), (136, 430), (136, 106), (136, 199), (136, 304)]
[(137, 16), (137, 432), (137, 105), (137, 199), (137, 305)]
[(138, 14), (138, 434), (138, 104), (138, 199), (138, 306)]
[(139, 13), (139, 436), (139, 103), (139, 199), (139, 307)]
[(140, 11), (140, 438), (140, 102), (140, 199), (140, 308)]
[(141, 9), (141, 440), (141, 101), (141, 199), (141, 309)]
[(142, 7), (142, 442), (142, 100), (142, 199), (142, 310)]
[(143, 6), (143, 444), (143, 99), (143, 199), (143, 310)]
[(144, 4), (144, 446), (144, 99), (144, 199), (144, 311)]
[(145, 2), (145, 448), (145, 98), (145, 199), (145, 312)]
[(146, 1), (146, 450), (146, 97), (146, 199), (146, 313)]
[(147, 0), (147, 452), (147, 96), (147, 199), (147, 314)]
[(148, -2), (148, 454), (148, 95), (148, 199), (148, 315)]
[(149, -3), (149, 456), (149, 94), (149, 199), (149, 316)]
[(150, -5), (150, 458), (150, 93), (150, 199), (150, 317)]
[(151, -7), (151, 460), (151, 92), (151, 199), (151, 318)]
[(152, -8), (152, 462), (152, 91), (152, 198), (152, 318)]
[(153, -10), (153, 464), (153, 90), (153, 198), (153, 319)]
[(154, -12), (154, 466), (154, 89), (154, 198), (154, 320)]
[(155, -14), (155, 468), (155, 89), (155, 198), (155, 321)]
[(156, -15), (156, 470), (156, 88), (156, 198), (156, 322)]
[(157, -17), (157, 472), (157, 87), (157, 198), (157, 323)]
[(158, -19), (158, 474), (158, 86), (158, 198), (158, 324)]
[(159, -20), (159, 476), (159, 85), (159, 198), (159, 325)]
[(160, -22), (160, 478), (160, 84), (160, 198), (160, 325)]
[(161, -24), (161, 480), (161, 83), (161, 198), (161, 326)]
[(162, -25), (162, 482), (162, 82), (162, 198), (162, 327)]
[(163, -27), (163, 484), (163, 81), (163, 198), (163, 328)]
[(164, -29), (164, 486), (164, 80), (164, 198), (164, 329)]
[(165, -31), (165, 488), (165, 80), (165, 198), (165, 330)]
[(166, -32), (166, 490), (166, 79), (166, 198), (166, 331)]
[(167, -34), (167, 492), (167, 78), (167, 198), (167, 332)]
[(168, -36), (168, 494), (168, 77), (168, 198), (168, 333)]
[(169, -37), (169, 496), (169, 76), (169, 197), (169, 333)]
[(170, -39), (170, 498), (170, 75), (170, 197), (170, 334)]
[(171, -41), (171, 500), (171, 74), (171, 197), (171, 335)]
[(172, -42), (172, 502), (172, 73), (172, 197), (172, 336)]
[(173, -44), (173, 504), (173, 72), (173, 197), (173, 337)]
[(174, -46), (174, 506), (174, 71), (174, 197), (174, 338)]
[(175, -48), (175, 508), (175, 71), (175, 197), (175, 339)]
[(176, -49), (176, 510), (176, 70), (176, 197), (176, 340)]
[(177, -51), (177, 512), (177, 69), (177, 197), (177, 340)]
[(178, -53), (178, 514), (178, 68), (178, 197), (178, 341)]
[(179, -54), (179, 516), (179, 67), (179, 197), (179, 342)]
[(180, -56), (180, 518), (180, 66), (180, 197), (180, 343)]
[(181, -58), (181, 520), (181, 65), (181, 197), (181, 344)]
[(182, -59), (182, 522), (182, 64), (182, 197), (182, 345)]
[(183, -61), (183, 524), (183, 63), (183, 197), (183, 346)]
[(184, -63), (184, 526), (184, 62), (184, 197), (184, 347)]
